crop_code,crop_name,crop_name_en,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code,Note / Variety Name
25064,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ CORSA,Alfalfa for Seed Production - Corsa,Alfalfa for Seed Production - Corsa,alfalfa_lucerne,3301090301,0,EL,Cultivar: Corsa
25065,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ LUXOR,Alfalfa for Seed Production - Luxor,Alfalfa for Seed Production - Luxor,alfalfa_lucerne,3301090301,0,EL,Cultivar: Luxor
25066,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ BLUE ACE,Alfalfa for Seed Production - Blue Ace,Alfalfa for Seed Production - Blue Ace,alfalfa_lucerne,3301090301,0,EL,Cultivar: Blue Ace
25067,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ ICON,Alfalfa for Seed Production - Icon,Alfalfa for Seed Production - Icon,alfalfa_lucerne,3301090301,0,EL,Cultivar: Icon
25068,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ IONIAN,Alfalfa for Seed Production - Ionian,Alfalfa for Seed Production - Ionian,alfalfa_lucerne,3301090301,0,EL,Cultivar: Ionian
25093,ΜΗΔΙΚΗ Η ΔΕΝΔΡΩΔΗΣ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NAXOS,Tree Medick for Seed Production,Tree Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago arborea
25094,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ AGN M68,Alfalfa for Seed Production - AGN M68,Alfalfa for Seed Production - AGN M68,alfalfa_lucerne,3301090301,0,EL,Commercial hybrid series
25095,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ CHAIRONIA,Alfalfa for Seed Production - Chaironia,Alfalfa for Seed Production - Chaironia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Chaironia
25096,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ CHLOI,Alfalfa for Seed Production - Chloe,Alfalfa for Seed Production - Chloe,alfalfa_lucerne,3301090301,0,EL,Cultivar: Chloe
25097,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ EGANH,Alfalfa for Seed Production - Egane,Alfalfa for Seed Production - Egane,alfalfa_lucerne,3301090301,0,EL,Cultivar: Egane
25098,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ ELISAVET,Alfalfa for Seed Production - Elisavet,Alfalfa for Seed Production - Elisavet,alfalfa_lucerne,3301090301,0,EL,Cultivar: Elisavet
25099,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ FLORINA,Alfalfa for Seed Production - Florina,Alfalfa for Seed Production - Florina,alfalfa_lucerne,3301090301,0,EL,Cultivar: Florina
25100,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ MEDINA,Alfalfa for Seed Production - Medina,Alfalfa for Seed Production - Medina,alfalfa_lucerne,3301090301,0,EL,Cultivar: Medina
25101,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NUBIRA,Alfalfa for Seed Production - Nubira,Alfalfa for Seed Production - Nubira,alfalfa_lucerne,3301090301,0,EL,Cultivar: Nubira
25102,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ PELLA,Alfalfa for Seed Production - Pella,Alfalfa for Seed Production - Pella,alfalfa_lucerne,3301090301,0,EL,Cultivar: Pella
25127,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ PREMARIACCO,Alfalfa for Seed Production - Premariacco,Alfalfa for Seed Production - Premariacco,alfalfa_lucerne,3301090301,0,EL,Cultivar: Premariacco
25131,ΜΗΔΙΚΗ Η ΑΚΑΝΘΩΔΗΣ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Burclover for Seed Production,Burclover for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago polymorpha
25132,ΜΗΔΙΚΗ Η ΙΤΑΛΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Italian Alfalfa for Seed Production,Italian Alfalfa for Seed Production,alfalfa_lucerne,3301090301,0,EL,Geographic type
25133,ΜΗΔΙΚΗ Η ΠΑΡΑΛΙΟΣ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Strand Medick for Seed Production,Strand Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago littoralis
25134,ΜΗΔΙΚΗ Η ΣΦΑΙΡΟΚΑΡΠΟΣ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Round-fruited Medick for Seed Production,Round-fruited Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago sphaerocarpos
25135,ΜΗΔΙΚΗ Η ΠΟΛΥΜΟΡΦΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Toothed Burclover for Seed Production,Toothed Burclover for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago polymorpha
25136,ΜΗΔΙΚΗ Η ΡΙΚΝΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Wrinkled Medick for Seed Production,Wrinkled Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago rugosa
25137,ΜΗΔΙΚΗ Η ΠΙΝΑΚΟΕΙΔΗΣ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Plate Medick for Seed Production,Plate Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago scutellata
25155,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ JULIA,Alfalfa for Seed Production - Julia,Alfalfa for Seed Production - Julia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Julia
25156,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ EZZELINA,Alfalfa for Seed Production - Ezzelina,Alfalfa for Seed Production - Ezzelina,alfalfa_lucerne,3301090301,0,EL,Cultivar: Ezzelina
25158,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ VICTORIA,Alfalfa for Seed Production - Victoria,Alfalfa for Seed Production - Victoria,alfalfa_lucerne,3301090301,0,EL,Cultivar: Victoria
25161,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ CANE,Alfalfa for Seed Production - Cane,Alfalfa for Seed Production - Cane,alfalfa_lucerne,3301090301,0,EL,Cultivar: Cane
25162,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ GEA,Alfalfa for Seed Production - Gea,Alfalfa for Seed Production - Gea,alfalfa_lucerne,3301090301,0,EL,(Duplicate) Cultivar: Gea
25163,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ PROSEMENTI BOLOGNA,Alfalfa for Seed Production - Prosementi,Alfalfa for Seed Production - Prosementi,alfalfa_lucerne,3301090301,0,EL,Brand name (Prosementi Bologna)
25164,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ CLAUDIA,Alfalfa for Seed Production - Claudia,Alfalfa for Seed Production - Claudia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Claudia
25180,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ PR59N59,Alfalfa for Seed Production - PR59N59,Alfalfa for Seed Production - PR59N59,alfalfa_lucerne,3301090301,0,EL,Pioneer Hi-Bred variety
25190,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NEFELI,Alfalfa for Seed Production - Nefeli,Alfalfa for Seed Production - Nefeli,alfalfa_lucerne,3301090301,0,EL,Cultivar: Nefeli
25192,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NG610,Alfalfa for Seed Production - NG610,Alfalfa for Seed Production - NG610,alfalfa_lucerne,3301090301,0,EL,Cultivar: NG610
25193,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NG900,Alfalfa for Seed Production - NG900,Alfalfa for Seed Production - NG900,alfalfa_lucerne,3301090301,0,EL,Cultivar: NG900
25194,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NG999,Alfalfa for Seed Production - NG999,Alfalfa for Seed Production - NG999,alfalfa_lucerne,3301090301,0,EL,Cultivar: NG999
25195,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ PRINCE,Alfalfa for Seed Production - Prince,Alfalfa for Seed Production - Prince,alfalfa_lucerne,3301090301,0,EL,Cultivar: Prince
25196,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ ROMANZA,Alfalfa for Seed Production - Romanza,Alfalfa for Seed Production - Romanza,alfalfa_lucerne,3301090301,0,EL,Cultivar: Romanza
25197,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ VASILIKI,Alfalfa for Seed Production - Vasiliki,Alfalfa for Seed Production - Vasiliki,alfalfa_lucerne,3301090301,0,EL,Cultivar: Vasiliki
25198,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ ARISTI,Alfalfa for Seed Production - Aristi,Alfalfa for Seed Production - Aristi,alfalfa_lucerne,3301090301,0,EL,Cultivar: Aristi
25199,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ BABYLON,Alfalfa for Seed Production - Babylon,Alfalfa for Seed Production - Babylon,alfalfa_lucerne,3301090301,0,EL,Cultivar: Babylon
25200,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ BONITA,Alfalfa for Seed Production - Bonita,Alfalfa for Seed Production - Bonita,alfalfa_lucerne,3301090301,0,EL,Cultivar: Bonita
25201,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ CRISTIN,Alfalfa for Seed Production - Cristin,Alfalfa for Seed Production - Cristin,alfalfa_lucerne,3301090301,0,EL,Cultivar: Cristin
25202,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ KALLIOPI,Alfalfa for Seed Production - Kalliopi,Alfalfa for Seed Production - Kalliopi,alfalfa_lucerne,3301090301,0,EL,Cultivar: Kalliopi
25203,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ LIDER,Alfalfa for Seed Production - Lider,Alfalfa for Seed Production - Lider,alfalfa_lucerne,3301090301,0,EL,Cultivar: Lider
25205,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ MINERVA,Alfalfa for Seed Production - Minerva,Alfalfa for Seed Production - Minerva,alfalfa_lucerne,3301090301,0,EL,Cultivar: Minerva
25208,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ BLUE MOON,Alfalfa for Seed Production - Blue Moon,Alfalfa for Seed Production - Blue Moon,alfalfa_lucerne,3301090301,0,EL,Cultivar: Blue Moon
25212,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ RIVIERA VICENTINA,Alfalfa for Seed Production - Riviera Vice,Alfalfa for Seed Production - Riviera Vice,alfalfa_lucerne,3301090301,0,EL,Cultivar: Riviera Vicentina
25217,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ SILVERADO,Alfalfa for Seed Production - Silverado,Alfalfa for Seed Production - Silverado,alfalfa_lucerne,3301090301,0,EL,Cultivar: Silverado
25228,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ OLYMPOS,Alfalfa for Seed Production - Olympos,Alfalfa for Seed Production - Olympos,alfalfa_lucerne,3301090301,0,EL,Cultivar: Olympos
25229,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ HYPERION,Alfalfa for Seed Production - Hyperion,Alfalfa for Seed Production - Hyperion,alfalfa_lucerne,3301090301,0,EL,Cultivar: Hyperion
25232,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ SCALIGERA,Alfalfa for Seed Production - Scaligera,Alfalfa for Seed Production - Scaligera,alfalfa_lucerne,3301090301,0,EL,Cultivar: Scaligera
25233,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ LETIZIA,Alfalfa for Seed Production - Letizia,Alfalfa for Seed Production - Letizia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Letizia
80052,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ AGNM68,Domesticated Alfalfa - AGNM68,Domesticated Alfalfa - AGNM68,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80053,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ AGNM72,Domesticated Alfalfa - AGNM72,Domesticated Alfalfa - AGNM72,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80054,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ CHAIRONIA,Domesticated Alfalfa - Chaironia,Domesticated Alfalfa - Chaironia,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80055,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ CHLOI,Domesticated Alfalfa - Chloe,Domesticated Alfalfa - Chloe,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80056,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ CORSA,Domesticated Alfalfa - Corsa,Domesticated Alfalfa - Corsa,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80057,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ DOLICHI,Domesticated Alfalfa - Dolichi,Domesticated Alfalfa - Dolichi,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80058,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ EGANH,Domesticated Alfalfa - Egane,Domesticated Alfalfa - Egane,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80059,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ ELISAVET,Domesticated Alfalfa - Elisavet,Domesticated Alfalfa - Elisavet,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80060,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ FLORINA,Domesticated Alfalfa - Florina,Domesticated Alfalfa - Florina,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80061,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ IONIAN,Domesticated Alfalfa - Ionian,Domesticated Alfalfa - Ionian,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80062,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ LARISSA,Domesticated Alfalfa - Larissa,Domesticated Alfalfa - Larissa,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80063,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ LUXOR,Domesticated Alfalfa - Luxor,Domesticated Alfalfa - Luxor,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80065,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ MEDINA,Domesticated Alfalfa - Medina,Domesticated Alfalfa - Medina,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80066,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ NIKITA,Domesticated Alfalfa - Nikita,Domesticated Alfalfa - Nikita,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80067,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ NUBIRA,Domesticated Alfalfa - Nubira,Domesticated Alfalfa - Nubira,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80068,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ PELLA,Domesticated Alfalfa - Pella,Domesticated Alfalfa - Pella,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80070,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ YLIKI,Domesticated Alfalfa - Yliki,Domesticated Alfalfa - Yliki,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80071,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ YPATI 84,Domesticated Alfalfa - Ypati 84,Domesticated Alfalfa - Ypati 84,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80072,ΜΗΔΙΚΗ Η ΛΥΚΙΣΚΗ Ή ΛΟΥΠΟΥΛΙΝΑ,Hop Medick or Lupulina,Hop Medick or Lupulina,alfalfa_lucerne,3301090301,0,EL,Species: Medicago lupulina
80073,ΜΗΔΙΚΗ ΠΟΙΚΙΛΙΑ ΣΤΙΚΤΗ ΥΒΡΙΔΙΟ,Alfalfa Variety Spotted Hybrid,Alfalfa Variety Spotted Hybrid,alfalfa_lucerne,3301090301,0,EL,Hybrid type
80074,ΜΗΔΙΚΗ ΔΕΔΡΩΔΗΣ NAXOS,Tree Medick Naxos,Tree Medick Naxos,alfalfa_lucerne,3301090301,0,EL,Species: Medicago arborea (Local selection)
80075,ΑΓΡΙΟΤΡΙΦΥΛΛΟ,Wild Clover / Wild Alfalfa,Wild Clover / Wild Alfalfa,alfalfa_lucerne,3301090301,0,EL,Generic term for wild Medicago
80092,ΜΗΔΙΚΗ JULIA,Alfalfa Julia,Alfalfa Julia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Julia
80093,ΜΗΔΙΚΗ EZZELINA,Alfalfa Ezzelina,Alfalfa Ezzelina,alfalfa_lucerne,3301090301,0,EL,Cultivar: Ezzelina
80094,ΜΗΔΙΚΗ BLUE ACE,Alfalfa Blue Ace,Alfalfa Blue Ace,alfalfa_lucerne,3301090301,0,EL,Cultivar: Blue Ace
80095,ΜΗΔΙΚΗ VICTORIA,Alfalfa Victoria,Alfalfa Victoria,alfalfa_lucerne,3301090301,0,EL,Cultivar: Victoria
80098,ΜΗΔΙΚΗ ICON,Alfalfa Icon,Alfalfa Icon,alfalfa_lucerne,3301090301,0,EL,Cultivar: Icon
80099,ΜΗΔΙΚΗ CANE,Alfalfa Cane,Alfalfa Cane,alfalfa_lucerne,3301090301,0,EL,Cultivar: Cane
80100,ΜΗΔΙΚΗ GEA,Alfalfa Gea,Alfalfa Gea,alfalfa_lucerne,3301090301,0,EL,Cultivar: Gea
80101,ΜΗΔΙΚΗ PROSEMENTI BOLOGNA,Alfalfa Prosementi Bologna,Alfalfa Prosementi Bologna,alfalfa_lucerne,3301090301,0,EL,Italian Seed Brand
80102,ΜΗΔΙΚΗ CLAUDIA,Alfalfa Claudia,Alfalfa Claudia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Claudia
80109,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ PR59N59,Domesticated Alfalfa PR59N59,Domesticated Alfalfa PR59N59,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80116,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ NEFELI,Domesticated Alfalfa Nefeli,Domesticated Alfalfa Nefeli,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80119,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ ARISTI,Domesticated Alfalfa Aristi,Domesticated Alfalfa Aristi,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80120,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ BABYLON,Domesticated Alfalfa Babylon,Domesticated Alfalfa Babylon,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80121,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ BONITA,Domesticated Alfalfa Bonita,Domesticated Alfalfa Bonita,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80122,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ CHRISTIN,Domesticated Alfalfa Christin,Domesticated Alfalfa Christin,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80123,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ KALLIOPI,Domesticated Alfalfa Kalliopi,Domesticated Alfalfa Kalliopi,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80124,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ LIDER,Domesticated Alfalfa Lider,Domesticated Alfalfa Lider,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80125,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ NG610,Domesticated Alfalfa NG610,Domesticated Alfalfa NG610,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80126,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ NG900,Domesticated Alfalfa NG900,Domesticated Alfalfa NG900,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80127,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ NG999,Domesticated Alfalfa NG999,Domesticated Alfalfa NG999,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80128,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ PRINCE,Domesticated Alfalfa Prince,Domesticated Alfalfa Prince,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80129,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ ROMANZA,Domesticated Alfalfa Romanza,Domesticated Alfalfa Romanza,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80130,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ VASILIKI,Domesticated Alfalfa Vasiliki,Domesticated Alfalfa Vasiliki,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80132,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ MINERVA,Domesticated Alfalfa Minerva,Domesticated Alfalfa Minerva,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80137,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ BLUE MOON,Domesticated Alfalfa Blue Moon,Domesticated Alfalfa Blue Moon,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80139,ΜΗΔΙΚΗ RIVIERA VICENTINA,Alfalfa Riviera Vicentina,Alfalfa Riviera Vicentina,alfalfa_lucerne,3301090301,0,EL,Cultivar: Riviera Vicentina
80144,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ LA BELLA CAMPAGNOLA,Domesticated Alfalfa La Bella Campagno,Domesticated Alfalfa La Bella Campagno,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80163,ΜΗΔΙΚΗ Η ΗΜΕΡΟΣ SILVERADO,Domesticated Alfalfa Silverado,Domesticated Alfalfa Silverado,alfalfa_lucerne,3301090301,0,EL,Cultivated type
80208,ΜΗΔΙΚΗ PREMARIACCO,Alfalfa Premariacco,Alfalfa Premariacco,alfalfa_lucerne,3301090301,0,EL,Cultivar: Premariacco
80209,ΜΗΔΙΚΗ EMILIANA,Alfalfa Emiliana,Alfalfa Emiliana,alfalfa_lucerne,3301090301,0,EL,Cultivar: Emiliana
80210,ΜΗΔΙΚΗ NARDIAN,Alfalfa Nardian,Alfalfa Nardian,alfalfa_lucerne,3301090301,0,EL,Cultivar: Nardian
80211,ΜΗΔΙΚΗ LODI,Alfalfa Lodi,Alfalfa Lodi,alfalfa_lucerne,3301090301,0,EL,Cultivar: Lodi
80212,ΜΗΔΙΚΗ LA TORRE,Alfalfa La Torre,Alfalfa La Torre,alfalfa_lucerne,3301090301,0,EL,Cultivar: La Torre
80213,ΜΗΔΙΚΗ MARINA,Alfalfa Marina,Alfalfa Marina,alfalfa_lucerne,3301090301,0,EL,Cultivar: Marina
80236,ΜΗΔΙΚΗ SCALIGERA,Alfalfa Scaligera,Alfalfa Scaligera,alfalfa_lucerne,3301090301,0,EL,Cultivar: Scaligera
80237,ΜΗΔΙΚΗ LETIZIA,Alfalfa Letizia,Alfalfa Letizia,alfalfa_lucerne,3301090301,0,EL,Cultivar: Letizia
80238,ΜΗΔΙΚΗ AGN M72,Alfalfa AGN M72,Alfalfa AGN M72,alfalfa_lucerne,3301090301,0,EL,Commercial hybrid
8392,ΑΜΥΓΔΑΛΑ FYLLIS,Almond Phyllis,Almond Phyllis,almond,3303030100,0,EL,
21005,ΑΜΥΓΔΑΛΑ FERRADUEL,Almond Ferraduel,Almond Ferraduel,almond,3303030100,0,EL,
21006,ΑΜΥΓΔΑΛΑ NON PAREIL,Almond Non Pareil,Almond Non Pareil,almond,3303030100,0,EL,
21019,ΑΜΥΓΔΑΛΑ AI,Almond Ai,Almond Ai,almond,3303030100,0,EL,
21020,ΑΜΥΓΔΑΛΑ FERRAGNES,Almond Ferragnes,Almond Ferragnes,almond,3303030100,0,EL,
21021,ΑΜΥΓΔΑΛΑ MARCONA,Almond Marcona,Almond Marcona,almond,3303030100,0,EL,
21022,ΑΜΥΓΔΑΛΑ RETSOU,Almond Retsou,Almond Retsou,almond,3303030100,0,EL,
21023,ΑΜΥΓΔΑΛΑ TEXAS,Almond Texas,Almond Texas,almond,3303030100,0,EL,
21024,ΑΜΥΓΔΑΛΑ TROUTO,Almond Trouto,Almond Trouto,almond,3303030100,0,EL,
