crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
854,"Bonen, tuin- (groen te oogsten) ","Beans, garden (green harvest)",beans,3301020100,0,NL
7137,"Bonen, overig","beans, other",beans,3301020100,0,NL
256,"Bieten, suiker-",beets sugar,sugar_beet,3301290700,0,NL
2651,"Bieten, voeder- (inclusief aardperen)","Beets, fodder (including Jerusalem artichokes)",root_vegetables,3301290000,0,NL
2741,"Kroten/rode bieten, productie",Beets/red beets production,beetroot_beets,3301290200,0,NL
2742,"Kroten/rode bieten, zaden en opkweekmateriaal",Beets/red beets seeds and propagation material,beetroot_beets,3301290200,0,NL
1873,"Bessen, zwarte (opbrengst verwerkt voor verwerken*",Berries black (yield processed for processing industry),blackberry,3303020200,0,NL
,"Bessen, zwarte (opbrengst verwerkt voor verwerkende industrie)",Berries black (yield processed for processing industry),blackberry,3303020200,0,NL
1869,"Bessen, blauwe",Berries blue,blueberry,3303020400,0,NL
2325,"Bessen, rode",Berries red,redcurrant,3303021100,0,NL
,"Bessen, zwarte (opbrengst verwerkt voor verwerkende industri","Berries, black (proceeds processed for manufacturing industries",blackberry,3303020200,0,NL
800,Rolklaver,Bird's-foot trefoil,birdsfoot_trefoil,3301090306,0,NL
655,Zwarte mosterd,black mustard,mustard,3301210100,0,NL
2764,"Schorseneren, zaden en opkweekmateriaal",Black Salsify seeds and propagation material,black_salsify,3301290900,0,NL
2763,"Schorseneren, productie","Black Salsify, production",black_salsify,3301290900,0,NL
,Schorseneren; productie,Black salsify; production,black_salsify,3301290900,0,NL
2327,Bramen,blackberries,blackberry,3303020200,0,NL
1014,"Blauw druifje, droogbloemen",Blue grape dried flowers,flowers_ornamental_plants,3301080000,0,NL
247,Blauwmaanzaad ,Blue poppy seeds,poppy,3301060600,0,NL
2745,"Paksoi, productie",Bok choy production,bok_choy_pak_choi,3301210201,0,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras. (EA: beheer)",Border adjacent to arable land consisting mainly of a crop other than grass. (EA: management),field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras. (EA: onbeheerd)",Border adjacent to arable land consisting mainly of a crop other than grass. (EA: unattended),other_arable_land_crops,3301990000,0,NL
,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit blijvend gras",Border adjacent to permanent grassland or a permanent crop consisting mainly of permanent grass,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
370,"Rand, grenzend aan blijvend grasland of een blijv*",Border adjacent to permanent pasture or a permanent crop consisting mainly of temporary grass,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit tijdelijk gras",Border adjacent to permanent pasture or a permanent crop consisting mainly of temporary grass,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
344,"Rand, grenzend aan blijvend grasland of een blijv*",Border adjacent to permanent pasture or permanent crop consisting mainly of a crop other than grass,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit een ander gewas dan gras",Border adjacent to permanent pasture or permanent crop consisting mainly of a crop other than grass,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
345,"Rand, grenzend aan bouwland, hoofdzakelijk bestaa*","Border, adjacent to arable land, consisting mainly of a crop other than grass",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras","Border, adjacent to arable land, consisting mainly of a crop other than grass",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan blijvend grasland of een blijvende teelt,","Border, adjacent to permanent grassland or permanent crop,",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
1068,"Buxus, open grond",boxwood open ground,shrubberries_shrubs,3303080000,10,NL
,"Buxus, open grond,",boxwood open ground,shrubberries_shrubs,3303080000,0,NL
1082,"Buxus, pot- en containerveld",Boxwood pot and container field,shrubberries_shrubs,3303080000,10,NL
,"Buxus, pot- en containerveld,",Boxwood pot and container field,shrubberries_shrubs,3303080000,0,NL
2719,"Broccoli, productie",Broccoli production,broccoli,3301210202,0,NL
,"Brocolli, zaden en opkweekmateriaal",Broccolli seeds and growing material,broccoli,3301210202,0,NL
2720,"Broccoli, zaden en opkweekmateriaal",Brocoli seeds and growing material,broccoli,3301210202,0,NL
2777,"Spruitkool/spruitjes, productie",Brussels sprouts production,brussels_sprouts,3301210203,0,NL
2778,"Spruitkool/spruitjes, zaden en opkweekmateriaal",Brussels sprouts/brussels sprouts seeds and propagation material,brussels_sprouts,3301210203,0,NL
3510,Boekweit,Buckwheat,buckwheat,3301150200,0,NL
659,Boekweit,Buckwheat,buckwheat,3301150200,0,NL
,"Bufferstrook, rand (inclusief eventuele oevervegetatie)",Buffer strip edge (including any riparian vegetation),wetland_buffers,3310700000,0,NL
337,"Bufferstrook, rand (inclusief eventuele oevervege*","Buffer strip, edge (including any bankside vegetation*",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
3055,Lisdodde,bulrush,bulrush,3301080600,0,NL
3502,Bladkool,cabbage leaf,brassica_oleracea_cabbage,3301210200,0,NL
3505,Deder,Camelina sativa,camelina,3301061500,0,NL
1034,Kanariezaad,canary seed,canary_seed_canaryseed,3301011400,0,NL
513,Kanariezaad,canary seed,canary_seed_canaryseed,3301011400,0,NL
7128,Rietkraag/rietzoom,Cane/ reed belt,wetland_buffers,3310700000,0,NL
241,Kapucijners (en grauwe erwten) ,Capuchin peas (and gray peas),peas,3301020600,0,NL
246,Karwijzaad,Caraway seed (harvest this year),caraway,3301061211,0,NL
246,Karwijzaad (oogst dit jaar),Caraway seed (harvest this year),caraway,3301061211,0,NL
2717,"Bospeen, productie",Carrot production,carrots_daucus,3301290300,0,NL
2785,"Winterpeen, productie",Carrot production,carrots_daucus,3301290300,0,NL
2783,"Waspeen, productie","Carrot, production",carrots_daucus,3301290300,0,NL
2784,"Waspeen, zaden en opkweekmateriaal","Carrot, seeds and propagating material",carrots_daucus,3301290300,0,NL
2718,"Bospeen, zaden en opkweekmateriaal",Carrots seeds and propagation material,carrots_daucus,3301290300,0,NL
2797,"Bloemkool, zomer, productie",Cauliflower summer production,cauliflower,3301210204,0,NL
2798,"Bloemkool, zomer, zaden en opkweekmateriaal",Cauliflower summer seeds and growing material,cauliflower,3301210204,0,NL
2795,"Bloemkool, winter, productie",Cauliflower winter production,cauliflower,3301210204,0,NL
2796,"Bloemkool, winter, zaden en opkweekmateriaal",Cauliflower winter seeds and propagation material,cauliflower,3301210204,0,NL
2713,"Bloemkool, productie","Cauliflower, production",cauliflower,3301210204,0,NL
2714,"Bloemkool, zaden en opkweekmateriaal","Cauliflower, seeds and growing material",cauliflower,3301210204,0,NL
2725,"Knolselderij, productie",Celeriac production,celeriac,3301250100,0,NL
2726,"Knolselderij, zaden en opkweekmateriaal",Celeriac seeds and propagation material,celeriac,3301250100,0,NL
2765,"Selderij, bleek- en groen-, productie",Celery bleach and green production,leaf_celery,3301250200,0,NL
,"Selderij, bleek- en groen-, zaden en opkweekmateriaal",Celery bleach and greens seeds and propagation material,leaf_celery,3301250200,0,NL
2766,"Selderij, bleek- en groen-, zaden en opkweekmater*","Celery, pale and green, seeds and growing material*",leaf_celery,3301250200,0,NL
1872,"Kersen, zuur (opbrengst bestemd voor verwerkende *",Cherries sour (yield intended for processing industry),cherry_cherries,3303010400,0,NL
,"Kersen, zuur (opbrengst bestemd voor verwerkende industrie)",Cherries sour (yield intended for processing industry),cherry_cherries,3303010400,0,NL
2328,"Kersen, zoet",Cherries sweet,cherry_cherries,3303010400,0,NL
511,Cichorei,Chicory,chicory_chicories,3301310200,0,NL
511,Cichorei ,Chicory ,chicory_chicories,3301310200,0,NL
2787,"Witlofwortel, productie",Chicory root production,chicory_chicories,3301310200,0,NL
2788,"Witlofwortel, zaden en opkweekmateriaal",Chicory root seeds and propagation material,chicory_chicories,3301310200,0,NL
2721,"Chinese kool, productie",Chinese cabbage production,chinese_cabbage,3301210205,0,NL
2722,"Chinese kool, zaden en opkweekmateriaal",Chinese cabbage seeds and propagation material,chinese_cabbage,3301210205,0,NL
6749,Bieslook,Chives,chives,3301220100,0,NL
796,Kerstbomen,Christmas trees,christmas_trees,3306100000,0,NL
1039,"Chrysant, overige bloemkwekerijgewassen",Chrysanthemum other flower nursery crops,chrysanthemum,3301080900,0,NL
1040,"Chrysant, droogbloemen","Chrysanthemum, dried flowers",chrysanthemum,3301080900,0,NL
1041,"Chrysant, bloembollen en -knollen","Chrysanthemum, flower bulbs and tubers",chrysanthemum,3301080900,0,NL
1055,"Chrysant, vermeerdering","Chrysanthemum, propagation",chrysanthemum,3301080900,0,NL
2026,Braak met bos (SBL-regeling na 28 juni 1995),"Clearing the forest (SBL scheme after June 28, 1995)",not_known_and_other,3399000000,0,NL
1076,"Trek- en besheesters, open grond",climbing and berry shrubs,berries_berry_species,3303020000,0,NL
2624,Knip- of scheerheg,Clipping or shearing hedge,hedges,3310200000,0,NL
3500,"Klaver, Alexandrijnse",Clover Alexandrian,clover,3301090303,0,NL
3511,"Klaver, incarnaat",Clover incarnate,clover,3301090303,0,NL
3515,"Klaver, Perzische",Clover Persian,clover,3301090303,0,NL
799,"Klaver, rode",clover red,clover,3301090303,0,NL
1570,Klaverzaad,clover seed,clover,3301090303,0,NL
804,Klaverzaad,clover seed,clover,3301090303,0,NL
3524,"Klaver, witte",clover white,clover,3301090303,0,NL
6757,"Klaver, Alexandrijnse, klaverzaad","Clover, Alexandrian, clover seed",clover,3301090303,0,NL
6756,"Klaver, Alexandrijnse, groenbemesting, vanggewas","Clover, Alexandrian, green manure, catch crop",clover,3301090303,0,NL
6759,"Klaver, incarnaat, klaverzaad","Clover, incarnate, clover seed",clover,3301090303,0,NL
6758,"Klaver, incarnaat, groenbemesting, vanggewas","Clover, incarnate, green manure, catch crop",clover,3301090303,0,NL
6761,"Klaver, Perzische, klaverzaad","Clover, Persian, clover seed",clover,3301090303,0,NL
6760,"Klaver, Perzische, groenbemesting, vanggewas","Clover, Persian, green manure, catch crop",clover,3301090303,0,NL
6763,"Klaver, rode, klaverzaad","Clover, red, clover seed",clover,3301090303,0,NL
6762,"Klaver, rode, groenbemesting, vanggewas","Clover, red, green manure, catch crop",clover,3301090303,0,NL
6765,"Klaver, witte, klaverzaad","Clover, white, clover seed",clover,3301090303,0,NL
6764,"Klaver, witte, groenbemesting, vanggewas","Clover, white, green manure, catch crop",clover,3301090303,0,NL
2630,Hakhoutbosje,Coppice forest,short_rotation_coppice,3306090000,0,NL
317,"Maïs, corncob mix",Corn corncob mix,grain_maize_corn_popcorn,3301010600,0,NL
2032,"Mais, energie-",corn energy,grain_maize_corn_popcorn,3301010600,0,NL
,"Maïs, energie-",corn energy,grain_maize_corn_popcorn,3301010600,0,NL
316,"Maïs, korrel-",corn grain,grain_maize_corn_popcorn,3301010600,0,NL
1935,Maiskolvensilage,Corn silage,green_silo_maize,3301090400,0,NL
,Maiskolvesilage,Corn silage,green_silo_maize,3301090400,0,NL
814,"Maïs, suiker-",corn sugar,grain_maize_corn_popcorn,3301010600,0,NL
317,"Mais, corncob mix","Corn, corncob mix",grain_maize_corn_popcorn,3301010600,0,NL
317,"Mais, corncob mix ","Corn, corncob mix ",grain_maize_corn_popcorn,3301010600,0,NL
316,"Mais, korrel-","Corn, grain",grain_maize_corn_popcorn,3301010600,0,NL
814,"Mais, suiker-","Corn, sugar-",grain_maize_corn_popcorn,3301010600,0,NL
1047,Cranberry,cranberry,cranberry,3303020500,0,NL
1016,"Kuifhyacint, overige bloemkwekerijgewassen",Crested hyacinth other flower nursery crops,flowers_ornamental_plants,3301080000,0,NL
1018,"Kuifhyacint, bloembollen en -knollen","Crested hyacinth, bulbs and tubers",flowers_ornamental_plants,3301080000,0,NL
1001,"Krokus, bloembollen en - knollen",Crocus flower bulbs and tubers,flowers_ornamental_plants,3301080000,0,NL
976,"Krokus, overige bloemkwekerijgewassen",Crocus other flower nursery crops,saffron_crocus_sativus,3301061232,0,NL
2729,"Komkommer, productie",Cucumber production,cucumber_pickle,3301140100,0,NL
2730,"Komkommer, zaden en opkweekmateriaal","Cucumber, seeds and propagation material",cucumber_pickle,3301140100,0,NL
656,Zonnekroon,cup plant,other_flowers_ornamental_plants,3301089900,0,NL
1876,Snijgroen,cut green,plants_harvested_green,3301090000,0,NL
1003,"Narcis, bloembollen en -knollen",Daffodil flower bulbs and tubers,narcissus_daffodil,3301083300,0,NL
997,"Dahlia, bloembollen en - knollen",Dahlia,dahlia,3301081200,0,NL
965,"Dahlia, droogbloemen",Dahlia dried flowers,dahlia,3301081200,0,NL
964,"Dahlia, overige bloemkwekerijgewassen",Dahlia other flower nursery crops,dahlia,3301081200,0,NL
343,Sloot,Ditch,ditches,3310500000,0,NL
,"Sloot, grenzend aan beheerde akkerrand",Ditch adjacent to managed field edge,ditches,3310500000,0,NL
,"Trek- en besheesters, open grond,",Draft and berry shrubs,berries_berry_species,3303020000,0,NL
1959,Dummycode voor dummypercelen,Dummy code for dummy plots,not_known_and_other,3399000000,0,NL
1048,"Echinacea (zonnehoed), productie",Echinacea (coneflower) production,echinacea_sun_hat,3301081500,0,NL
1049,"Echinacea (zonnehoed), zaden en opkweekmateriaal","Echinacea (coneflower), seeds and propagation material",echinacea_sun_hat,3301081500,0,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit blijvend gras",Edge adjacent to arable land consisting mainly of permanent grass,field_margins_buffer_strips_flowering_areas,3310100000,4,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit tijdelijk gras",Edge adjacent to arable land consisting mainly of temporary grass,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, liggend op bouwland en direct grenzend aan bos. Geen landbouwproductie.",Edge lying on arable land and directly adjacent to forest. No agricultural production.,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit tijd","Edge, adjacent to arable land, consisting mainly of time",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een","Edge, adjacent to arable land, mainly consisting of a",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
334,"Rand, grenzend aan bouwland, hoofdzakelijk bestaa*","Edge, bordering arable land, mainly consisting of*",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
372,"Rand, grenzend aan bouwland, hoofdzakelijk bestaa*","Edge, bordering arable land, mainly consisting of*",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
3803,"Rand, grenzend aan bouwland, hoofdzakelijk bestaa*","Edge, bordering arable land, mainly consisting of*",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
3804,"Rand, grenzend aan bouwland, hoofdzakelijk bestaa*","Edge, bordering arable land, mainly consisting of*",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
333,"Rand, grenzend aan blijvend grasland of een blijv*","Edge, bordering permanent grassland or a permanent*",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
338,"Rand, liggend op bouwland en direct grenzend aan *","Edge, situated on arable land and directly bordering *",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
2708,"Andijvie, productie",Endive production,endive,3301310300,0,NL
2709,"Andijvie, zaden en opkweekmateriaal",Endive seeds and propagation material,endive,3301310300,0,NL
6750,"Engels raaigras, graszaad","English ryegrass, grass seed",lolium_ryegrass,3301090205,0,NL
1069,"Ericaceae (Zoals erica, calluna, rododendron, aza*",Ericaceae (Like erica calluna rhododendron azalea) open ground,ericaceae_heather,3301061216,10,NL
1069,"Ericaceae (Zoals erica, calluna, rododendron, azalea), open grond",Ericaceae (Like erica calluna rhododendron azalea) open ground,ericaceae_heather,3301061216,10,NL
,"Ericaceae (Zoals erica, calluna, rododendron, azalea), open grond,",Ericaceae (Like erica calluna rhododendron azalea) open ground,ericaceae_heather,3301061216,10,NL
1083,"Ericaceae (Zoals erica, calluna, rododendron, aza*",Ericaceae (Like erica calluna rhododendron azalea) pot and container field,ericaceae_heather,3301061216,10,NL
1083,"Ericaceae (Zoals erica, calluna, rododendron, azalea), pot- en containerveld",Ericaceae (Like erica calluna rhododendron azalea) pot and container field,ericaceae_heather,3301061216,10,NL
,"Ericaceae (Zoals erica, calluna, rododendron, azalea), pot- en containerveld,",Ericaceae (Like erica calluna rhododendron azalea) pot and container field,ericaceae_heather,3301061216,10,NL
,"Ericaceae (Zoals erica, calluna, rododendron, azalea), open","Ericaceae (Such as erica, calluna, rhododendron, azalea), open",ericaceae_heather,3301061216,0,NL
,"Ericaceae (Zoals erica, calluna, rododendron, azalea), pot-","Ericaceae (such as erica, calluna, rhododendron, azalea), potted",ericaceae_heather,3301061216,10,NL
801,Esparcette,esparcette,esparsette_onobrychis,3301020300,0,NL
3507,Ethiopische mosterd,Ethiopian mustard,mustard,3301210100,0,NL
653,Teunisbloem,evening primrose,primrose,3301083500,0,NL
3508,Facelia,Facelia,phacelia,3301061400,0,NL
2029,"Braak, natuur-","fallow, natural",fallow_land_not_crop,3301110000,0,NL
1575,Faunaranden,Fauna Edges,field_margins_buffer_strips_flowering_areas,3310100000,0,NL
3721,"Faunaranden, bouwland","Fauna margins, arable land",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
3720,"Faunaranden, grasland","Fauna margins, grassland",field_margins_buffer_strips_flowering_areas,3310100000,0,NL
6809,Voederhaag,Feeding hedge,hedges,3310200000,0,NL
2727,"Knolvenkel/venkel, productie",Fennel/fennel production,fennel,3301170000,0,NL
2728,"Knolvenkel/venkel, zaden en opkweekmateriaal",Fennel/fennel seeds and propagation material,fennel,3301170000,0,NL
3509,Festulolium,Festulolium,festulolium,3301090204,0,NL
6752,"Festulolium, graszaad","Festulolium, grass seed",festulolium,3301090204,0,NL
6753,"Festulolium, groenbemesting, vanggewas","Festulolium, green manure, catch crop",festulolium,3301090204,0,NL
3736,Vezelvlas,Fiber flax,flax_linen,3301060701,0,NL
,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen)","Field beans (including pigeon beans, horse beans, broad beans)",beans,3301020100,0,NL
6748,"Beemdlangbloem, groenbemesting, vanggewas","Field meadow flower, green manure, catch crop",temporary_grass,3301090100,0,NL
3523,Veldbeemdgras,Field meadow grass,pasture_meadow_grassland_grass,3302000000,0,NL
241,Kapucijners (en grauwe erwten),Field peas (and gray peas),peas,3301020600,0,NL
3736,"Vlas, vezel-",flax fiber,flax_linen,3301060701,0,NL
666,"Vlas, olie-. Lijnzaad niet van vezelvlas",Flax oil. Linseed not from fiber flax,flax_linseed_oil,3301060702,0,NL
1933,"Vlas, vezel- (voor zaaizaad)","Flax, fiber (for seed)",flax_linen,3301060701,0,NL
249,"Vlas, vezel- (niet voor zaaizaad)","Flax, fiber (not for seed)",flax_linen,3301060701,0,NL
666,"Vlas, olie, lijnzaad niet van vezelvlas","Flax, oil, linseed not from fiber flax",flax_linseed_oil,3301060702,0,NL
176,Bloembollen en - knollen,Flower bulbs and tubers,flowers_ornamental_plants,3301080000,0,NL
175,Bloemkwekerijgewassen (inclusief bloemzaden),Flower nursery crops (including flower seeds),flowers_ornamental_plants,3301080000,0,NL
174,Bloemzaden open grond,Flower seeds open ground,flowers_ornamental_plants,3301080000,10,NL
257,"Bieten, voeder-",Fodder beets,mangelwurzel_fodder_beet,3301290400,0,NL
3504,Bladrammenas,fodder radish,oil_fodder_radish,3301210600,0,NL
1940,Voedselbos,food forest,tree_wood_forest,3306000000,0,NL
6806,Snijrogge,Forage rye,green_cut_rye,3301090600,0,NL
2619,Bossingel ,Forest ,tree_wood_forest,3306000000,0,NL
,Bos (SBL-regeling),Forest (SBL scheme),tree_wood_forest,3306000000,0,NL
2027,Bos (SBL-regeling),Forest (SBL scheme),tree_wood_forest,3306000000,0,NL
662,Bos (SBL-regeling),Forest (SBL scheme),tree_wood_forest,3306000000,0,NL
662,Bos (SBL-regeling) ,Forest (SBL scheme) ,tree_wood_forest,3306000000,0,NL
864,Bos (set aside regeling),Forest (set aside arrangement),tree_wood_forest,3306000000,0,NL
2623,Bossingel en bosje,Forest and grove,tree_wood_forest,3306000000,0,NL
1067,"Bos- en haagplanten, open grond",Forest and hedge plants open ground,tree_wood_forest,3306000000,0,NL
1081,"Bos- en haagplanten, pot- en containerveld",Forest and hedge plants pot and container field,tree_wood_forest,3306000000,10,NL
,"Bos- en haagplanten, pot- en containerveld,",Forest and hedge plants pot and container field,tree_wood_forest,3306000000,0,NL
,"Bos- en haagplanten, open grond,","Forest and hedge plants, open ground",tree_wood_forest,3306000000,0,NL
1936,"Bos, blijvend, met herplantplicht",Forest permanent with replanting obligation,tree_wood_forest,3306000000,0,NL
863,Bos zonder herplantplicht,Forest without replanting obligation,tree_wood_forest,3306000000,0,NL
863,Bos zonder herplantplicht ,Forest without replanting obligation ,tree_wood_forest,3306000000,0,NL
1936,"Bos, blijvend, met herplantplicht ","Forest, permanent, with replanting obligation ",tree_wood_forest,3306000000,0,NL
863,"Bos, zonder herplantplicht","Forest, without replanting obligation",tree_wood_forest,3306000000,0,NL
,Vergeet mij nietje,forget me not,flowers_ornamental_plants,3301080000,0,NL
1046,Vergeet mij nietje,forget me not,flowers_ornamental_plants,3301080000,0,NL
,Franse boekweit,French buckwheat,buckwheat,3301150200,0,NL
2781,"Stoksnijbonen en stokslabonen, productie",French French beans and French green beans production,beans,3301020100,0,NL
,"Stoksnijbonen en stokslabonen, zaden en opkweekmateriaal",French haricot beans and French green beans seeds and propagating material,beans,3301020100,0,NL
212,Fruit,Fruit,orchards_fruits,3303010000,0,NL
1077,"Vruchtbomen, moerbomen, open grond",Fruit trees nut trees open ground,orchards_fruits,3303010000,0,NL
,"Vruchtbomen, moerbomen, open grond,",Fruit trees nut trees open ground,orchards_fruits,3303010000,10,NL
1091,"Vruchtbomen, moerbomen, pot- en containerveld",Fruit trees nut trees pot and container field,orchards_fruits,3303010000,10,NL
,"Vruchtbomen, moerbomen, pot- en containerveld,",Fruit trees nut trees pot and container field,orchards_fruits,3303010000,10,NL
1079,"Vruchtbomen, overig, open grond",Fruit trees other open ground,orchards_fruits,3303010000,10,NL
,"Vruchtbomen, overig, open grond,",Fruit trees other open ground,orchards_fruits,3303010000,10,NL
1093,"Vruchtbomen, overig, pot- en containerveld",Fruit trees other pot and container field,orchards_fruits,3303010000,10,NL
